ID	Year	Title	Singer	Lyric
1	1964	동백아가씨	이미자	헤일 수 없이 수많은 밤을 내 가슴 도려내는 아픔에 겨워 얼마나 울었던가 동백아가씨 그리움에 지쳐서 울다 지쳐서 꽃잎은 빨갛게 멍이 들었오 동백꽃 잎에 새겨진 사연 말 못할 그 사연을 가슴에 안고 오늘도 기다리는 동백아가씨 가신님은 그 언제 그 어느날에 외로운 동백꽃 찾아 오려나 펼치기
2	1964	마도로스 부기	백야성	항구의 일~~번지 부기우기 일~번지 그라스를 채워~다오 부기우기 아~~가씨 고동이 슬피울면 이별~이란~~다 저 달이 지기~전에 이슬~~이 깨기전에 부기우기 부기우기 마도로스 부기~~우~기 항구의 일~~번지 부기우기 일~번지 인~심을 쓰려~므나 부기우기 아~~가씨 왔다가 가야하는 마도~로스~~다 저 달이 지기~전에 정열~~이 식기전에 부기우기 부기우기 마도로스 부기~~우~기 펼치기
3	1964	이국땅	남일해	하룻밤 뱃길이면 가고 오건만 못 가는 이국땅에 서러움이 많 아현해탄 파도 위에 비친 저 달아 찢어진 문틈으로 어머님 얼굴에도 아 아 비치어다오 꿈길은 수륙만리 고국 이건만 싸늘한 벼겟머리 언제나 이국 현해탄 파도 위에 부산항 찾아 그 누가 떠났길래 저 멀리 남은 연기 아 아 나를 울리네 펼치기
4	1964	첫사랑 마도로스	남일해	푸르른 달빛이 파도에 부서지면 파이프에 꿈을 실은 첫사랑 마도로스 배귀에 기대서면 그 날 밤이 그립구나 항구마다 정을 두고 떠나온 사나이 그래도 첫사랑 맺은 님을 잊을 길 없네 깨스등 희미한 부두의 그 날 밤에 울며불며 잡던 님을 뿌리친 마도로스 때 묻은 기름옷에 갈매기가 벗이구나 그라스로 맺은 정에 상처만 남기고 떠나온 첫사랑 아가씨가 나를 울리네 펼치기
5	1964	눈물의 연평도	최숙자	조기를 담뿍잡아 기폭을 올리고 온다던 그배는 어이하여 아니오나 수평선 바라보며 그이름 부르면 갈매기도 우는구나 눈물의 연평도 태풍이 원수더라 한많은 사라호 황천간 그얼굴 언제다시 만나보리 해저문 백사장에 그모습 그리면 등대불만 깜박이네 눈물의 연평도 펼치기
6	1964	빗속의 여인 (1964년작)	Add 4, 신중현	잊지 못할 빗속의 여인 지금은 어데 있나? 노오란 레인코트에 검은 눈동자, 잊지 못하네 다정하게 미소지며 검은 우산을 받쳐주네~ 나리는 빗방울 바라보며 말없이 말없이 걸었네 잊지 못할 빗속의 여인 그 여인을 잊지 못하네 다정하게 미소지며 검은 우산을 받쳐주네 나리는 빗방울 바라보며 말없이 말없이 걸었네 잊지 못할 빗 속의 여인 그 여인을 잊지 못하네 오~ 잊지 못할 빗 속의 여인 그 여인을 잊지 못하네 잊지 못하네 잊지 못하네 오~ 잊지 못해 펼치기
7	1964	밀짚모자 목장아가씨	박재란	시원한 밀짚모자 포플라 그늘에 양떼를 몰고가는 목장의 아가씨 연분홍 빛 입술에는 살며시 웃음 띄우고 넓다란 푸른 목장 하늘에 구름가네 라라라 라라라라라 라라라라 라라라라 라라라 라라라라라 라라라라 라라라라 연분홍 빛 입술에는 살며시 웃음 띄우고 넓다란 푸른 목장 하늘에 구름가네 구름가네 음음음음 펼치기
8	1964	빨간구두 아가씨	남일해	솔솔솔 오솔길에 빨간구두 아가씨 똑똑똑 구두소리 어딜 가시나 한번쯤 뒤돌아 볼만도 한데 발걸음만 하나둘 세며 가는지 빨간 구두 아가씨 혼자서 가네 밤밤밤 밤길에 빨간구두 아가씨 똑똑똑 구두소리 어딜 가시나 지금쯤 사랑을 알만도 한데 종소리만 하나둘 세며 가는지 빨간 구두 아가씨 멀어져가네 펼치기
9	1964	소쩍새 우는 마을	박재란	소쩍 소쩍새 울고간 뒤에 나풀나풀 나비가 춤추며 오네 두꺼비도 잠 깨어 하품하는데 우리집 고양인 아랫목 차지 겨울이 가고 봄이 오면은 아가씨 나들이 핑계도 좋아 나물 캐러 간다고 거울 보고 한나절 ~ 간 주 중 ~ 쓰름 쓰름 쓰르라미 울고간 뒤에 개구리 합창이 시끄러운데 멋쟁이 제비가 도망오는데 우리집 송아진 달콤한 낮잠 봄이 가고 여름이 오면 동네 총각 나리들 핑계도 좋아 밭갈이 간다고 장기 두고 한나절 ~ 간 주 중 ~ 가을 겨울 봄 여름 돌아가는데 우리 동네 물방아 돌리지않네 순이네 집 잔칫날 닥아오는데 떡방아 물바아 어디서 찧나 지붕에도 새들이 놀러왔지만 방아 소리 멎으니 맥이 풀렸네 부지런한 마을로 떠나가 볼까 펼치기
10	1964	아빠 안녕	현미	비가 나리네 비가 나리네 돌아선 이가슴에 그님은 어데 그어느곳에 이마음 벗사려 떨어져가도 이마음 몹쓸건 미련때문에 아 몸부림치며 님을 불렀네 이마음 모질게 헤어져가고 이마음 몹쓸건 미련때문에 아 목놓아 울며 님을 불렀네 펼치기
11	1964	진고개 신사	최희준	미련없~이 내~~뿜는 담배 연기속에 아련히 떠오~르는 그~~ 여인의 얼굴을 별~마~다 새겨보~는 별~마다 새겨보는 아~ ~ ~ 진고개 신~~사 헝크러~진 머~~리를 쓸어 올~리며 언젠가 들려~주던 그~~ 여인의 노래를 소리없~이 불러보~는 소리없이 불러보는 아~ ~ ~ 진고개 신~~사 펼치기
12	1964	아메리칸 마도로스	고봉산	무역선 오고가는 부산 항구 제2부두 죄많은 마도로스 이별이 야속트라 닷줄을 감으면은 기적이 울고 뱃머리 돌리며는 사랑이 운다 아~ 항구에 아가씨 울리고 떠나가는 버리고 떠나가는 마도로스 아메리카 마도로스 꽃물결 넘실대는 부산 항구 제2부두 술취한 마도로스 항구가 무정트라 깃발을 올리며는 기적이 울고 테프가 끊어지면 사랑이 운다 아~ 항구에 아가씨 울리고 떠나가는 버리고 떠나가는 마도로스 아메리카 마도로스 펼치기
13	1964	보고싶은 얼굴	현미	눈을 감고 걸어도 눈을 뜨고 걸어도 보이는 것은 초라한 모습 보고 싶은 얼굴 거리마다 물결이 거리마다 발길이 휩쓸고 지나간 허황한 거리에 눈을 감고 걸어도 눈을 뜨고 걸어도 보이는 것은 초라한 모습 보고 싶은 얼굴 거리마다 물결이 거리마다 발길이 휩쓸고 지나간 허황한 거리에 눈을 감고 걸어도 눈을 뜨고 걸어도 보이는 것은 초라한 모습 보고 싶은 얼굴 펼치기
14	1964	맨발의 청춘	최희준	눈물도 한숨도 나 혼자 씹어 삼키며 밤 거리의 뒷골목을 누비고 다녀도 사랑만은 단 하나의 목숨을 걸었다 거리의 자식이라 욕하지 말라 그대를 태양처럼 우러러 보는 사나이 이 가슴을 알아줄 날 있으리라 외롭고 슬프면 하늘만 바라보면서 맨발로 걸어왔네 사나이 험한길을 상처뿐인 이 가슴에 나홀로 달랬네 내버린 자식이라 비웃지 말라 내 생전 처음으로 바친 순정은 머나먼 천국에서 그대 옆에 피어나리 그대 옆에 피어나리 펼치기
